"rootcitycode","rootcityname","citycode","cityname"
"110000",北京,"110100",北京市
"120000",天津,"120100",天津市
"130000",河北省,"131082",三河市
"130000",河北省,"130900",沧州市
"130000",河北省,"130100",石家庄市
"130000",河北省,"131081",霸州市
"130000",河北省,"130400",邯郸市
"130000",河北省,"130184",新乐市
"130000",河北省,"130300",秦皇岛市
"130000",河北省,"130481",武安市
"130000",河北省,"130281",遵化市
"130000",河北省,"130581",南宫市
"130000",河北省,"130982",任丘市
"130000",河北省,"131182",深州市
"130000",河北省,"131181",冀州市
"130000",河北省,"130983",黄骅市
"130000",河北省,"130981",泊头市
"130000",河北省,"130684",高碑店市
"130000",河北省,"131000",廊坊市
"130000",河北省,"130582",沙河市
"130000",河北省,"131100",衡水市
"130000",河北省,"130200",唐山市
"130000",河北省,"130700",张家口市
"130000",河北省,"130600",保定市
"130000",河北省,"130681",涿州市
"130000",河北省,"130183",晋州市
"130000",河北省,"130500",邢台市
"130000",河北省,"139001",定州市
"130000",河北省,"139002",辛集市
"130000",河北省,"130283",迁安市
"130000",河北省,"130984",河间市
"130000",河北省,"130683",安国市
"130000",河北省,"130800",承德市
"140000",山西省,"141100",吕梁市
"140000",山西省,"140781",介休市
"140000",山西省,"140981",原平市
"140000",山西省,"140181",古交市
"140000",山西省,"140900",忻州市
"140000",山西省,"140200",大同市
"140000",山西省,"140500",晋城市
"140000",山西省,"140800",运城市
"140000",山西省,"140481",潞城市
"140000",山西省,"141082",霍州市
"140000",山西省,"140100",太原市
"140000",山西省,"140400",长治市
"140000",山西省,"140700",晋中市
"140000",山西省,"140300",阳泉市
"140000",山西省,"141181",孝义市
"140000",山西省,"140881",永济市
"140000",山西省,"140882",河津市
"140000",山西省,"140600",朔州市
"140000",山西省,"140581",高平市
"140000",山西省,"141000",临汾市
"140000",山西省,"141081",侯马市
"140000",山西省,"141182",汾阳市
"150000",内蒙古自治区,"152201",乌兰浩特市
"150000",内蒙古自治区,"150784",额尔古纳市
"150000",内蒙古自治区,"152501",二连浩特市
"150000",内蒙古自治区,"150400",赤峰市
"150000",内蒙古自治区,"150500",通辽市
"150000",内蒙古自治区,"150782",牙克石市
"150000",内蒙古自治区,"150700",呼伦贝尔市
"150000",内蒙古自治区,"150600",鄂尔多斯市
"150000",内蒙古自治区,"150581",霍林郭勒市
"150000",内蒙古自治区,"152502",锡林浩特市
"150000",内蒙古自治区,"152202",阿尔山市
"150000",内蒙古自治区,"150900",乌兰察布市
"150000",内蒙古自治区,"150981",丰镇市
"150000",内蒙古自治区,"150100",呼和浩特市
"150000",内蒙古自治区,"150785",根河市
"150000",内蒙古自治区,"150300",乌海市
"150000",内蒙古自治区,"150800",巴彦淖尔市
"150000",内蒙古自治区,"150783",扎兰屯市
"150000",内蒙古自治区,"150781",满洲里市
"150000",内蒙古自治区,"150200",包头市
"210000",辽宁省,"210282",普兰店市
"210000",辽宁省,"211400",葫芦岛市
"210000",辽宁省,"210200",大连市
"210000",辽宁省,"211100",盘锦市
"210000",辽宁省,"210500",本溪市
"210000",辽宁省,"211300",朝阳市
"210000",辽宁省,"210900",阜新市
"210000",辽宁省,"210782",北镇市
"210000",辽宁省,"210400",抚顺市
"210000",辽宁省,"210800",营口市
"210000",辽宁省,"210681",东港市
"210000",辽宁省,"210283",庄河市
"210000",辽宁省,"210881",盖州市
"210000",辽宁省,"211282",开原市
"210000",辽宁省,"210381",海城市
"210000",辽宁省,"211000",辽阳市
"210000",辽宁省,"210882",大石桥市
"210000",辽宁省,"210281",瓦房店市
"210000",辽宁省,"211481",兴城市
"210000",辽宁省,"210700",锦州市
"210000",辽宁省,"210181",新民市
"210000",辽宁省,"211200",铁岭市
"210000",辽宁省,"211382",凌源市
"210000",辽宁省,"210300",鞍山市
"210000",辽宁省,"210600",丹东市
"210000",辽宁省,"211081",灯塔市
"210000",辽宁省,"211381",北票市
"210000",辽宁省,"210100",沈阳市
"210000",辽宁省,"211281",调兵山市
"210000",辽宁省,"210682",凤城市
"210000",辽宁省,"210781",凌海市
"220000",吉林省,"220100",长春市
"220000",吉林省,"220283",舒兰市
"220000",吉林省,"222403",敦化市
"220000",吉林省,"220382",双辽市
"220000",吉林省,"220182",榆树市
"220000",吉林省,"220600",白山市
"220000",吉林省,"222406",和龙市
"220000",吉林省,"220581",梅河口市
"220000",吉林省,"222402",图们市
"220000",吉林省,"220882",大安市
"220000",吉林省,"220281",蛟河市
"220000",吉林省,"220781",扶余市
"220000",吉林省,"222401",延吉市
"220000",吉林省,"220700",松原市
"220000",吉林省,"220800",白城市
"220000",吉林省,"220300",四平市
"220000",吉林省,"220284",磐石市
"220000",吉林省,"220400",辽源市
"220000",吉林省,"220681",临江市
"220000",吉林省,"220200",吉林市
"220000",吉林省,"220582",集安市
"220000",吉林省,"220282",桦甸市
"220000",吉林省,"220881",洮南市
"220000",吉林省,"220183",德惠市
"220000",吉林省,"220500",通化市
"220000",吉林省,"222404",珲春市
"220000",吉林省,"222405",龙井市
"220000",吉林省,"220381",公主岭市
"230000",黑龙江省,"230500",双鸭山市
"230000",黑龙江省,"231181",北安市
"230000",黑龙江省,"230300",鸡西市
"230000",黑龙江省,"231081",绥芬河市
"230000",黑龙江省,"230600",大庆市
"230000",黑龙江省,"231083",海林市
"230000",黑龙江省,"231084",宁安市
"230000",黑龙江省,"231000",牡丹江市
"230000",黑龙江省,"230900",七台河市
"230000",黑龙江省,"230281",讷河市
"230000",黑龙江省,"230382",密山市
"230000",黑龙江省,"231281",安达市
"230000",黑龙江省,"231283",海伦市
"230000",黑龙江省,"230381",虎林市
"230000",黑龙江省,"231200",绥化市
"230000",黑龙江省,"230200",齐齐哈尔市
"230000",黑龙江省,"231100",黑河市
"230000",黑龙江省,"230800",佳木斯市
"230000",黑龙江省,"231182",五大连池市
"230000",黑龙江省,"230882",富锦市
"230000",黑龙江省,"230700",伊春市
"230000",黑龙江省,"230100",哈尔滨市
"230000",黑龙江省,"230184",五常市
"230000",黑龙江省,"230781",铁力市
"230000",黑龙江省,"230182",双城市
"230000",黑龙江省,"231282",肇东市
"230000",黑龙江省,"230183",尚志市
"230000",黑龙江省,"231085",穆棱市
"230000",黑龙江省,"230400",鹤岗市
"230000",黑龙江省,"230881",同江市
"310000",上海,"310100",上海市
"320000",江苏省,"320600",南通市
"320000",江苏省,"321283",泰兴市
"320000",江苏省,"320281",江阴市
"320000",江苏省,"320200",无锡市
"320000",江苏省,"320900",盐城市
"320000",江苏省,"320682",如皋市
"320000",江苏省,"321100",镇江市
"320000",江苏省,"320700",连云港市
"320000",江苏省,"320982",大丰市
"320000",江苏省,"321181",丹阳市
"320000",江苏省,"320583",昆山市
"320000",江苏省,"321282",靖江市
"320000",江苏省,"320381",新沂市
"320000",江苏省,"320481",溧阳市
"320000",江苏省,"320300",徐州市
"320000",江苏省,"320981",东台市
"320000",江苏省,"321300",宿迁市
"320000",江苏省,"320400",常州市
"320000",江苏省,"320282",宜兴市
"320000",江苏省,"320382",邳州市
"320000",江苏省,"321183",句容市
"320000",江苏省,"320684",海门市
"320000",江苏省,"320500",苏州市
