big_type_code	big_type_name	middle_type_code	middle_type_name	small_type_code	small_item_name
1	鲜果	101	苹果类	10101	东方红苹果
1	鲜果	101	苹果类	10102	红将军苹果
1	鲜果	101	苹果类	10103	水晶富士
1	鲜果	101	苹果类	10104	阿克苏苹果
1	鲜果	101	苹果类	10105	嘎啦苹果
1	鲜果	101	苹果类	10110	节日苹果
1	鲜果	101	苹果类	10112	红富士
1	鲜果	101	苹果类	10114	红星苹果
1	鲜果	101	苹果类	10115	金帅苹果
1	鲜果	101	苹果类	10116	秦冠苹果
1	鲜果	101	苹果类	10117	青苹果
1	鲜果	101	苹果类	10118	野苹果
1	鲜果	101	苹果类	10119	金苹果
1	鲜果	101	苹果类	10123	国产加力果
1	鲜果	101	苹果类	10124	国产世界—苹果
1	鲜果	101	苹果类	10125	花牛苹果
1	鲜果	101	苹果类	10126	海棠果
1	鲜果	101	苹果类	10127	王林苹果
1	鲜果	101	苹果类	10128	大凉山冰糖心富士
1	鲜果	101	苹果类	10136	乔纳金苹果
1	鲜果	101	苹果类	10137	国光苹果
1	鲜果	101	苹果类	10145	静宁富士
1	鲜果	101	苹果类	10146	金冠苹果
1	鲜果	101	苹果类	10147	米奇拉苹果
1	鲜果	101	苹果类	10148	白富士
1	鲜果	101	苹果类	10150	良枝苹果
1	鲜果	101	苹果类	10151	皇家嘎啦苹果
1	鲜果	101	苹果类	10152	艾芙苹果
1	鲜果	101	苹果类	10153	蜜脆苹果
1	鲜果	101	苹果类	10154	良枝高原富士
1	鲜果	101	苹果类	10155	大沙苹果
1	鲜果	101	苹果类	10156	天山蜜心富士
1	鲜果	101	苹果类	10157	进口焦糖苹果
1	鲜果	102	梨类	10201	丰水梨
1	鲜果	102	梨类	10202	老树梨
1	鲜果	102	梨类	10203	韩国新高梨
1	鲜果	102	梨类	10204	母香梨
1	鲜果	102	梨类	10205	翠冠梨
1	鲜果	102	梨类	10206	蜜梨
1	鲜果	102	梨类	10208	国产青啤梨
1	鲜果	102	梨类	10209	库尔勒香梨
1	鲜果	102	梨类	10210	香梨
1	鲜果	102	梨类	10211	黄金梨
1	鲜果	102	梨类	10213	南水梨
1	鲜果	102	梨类	10216	早酥梨
1	鲜果	102	梨类	10217	香酥梨
1	鲜果	102	梨类	10219	圆黄梨
1	鲜果	102	梨类	10220	绿宝石梨
1	鲜果	102	梨类	10221	贡梨
1	鲜果	102	梨类	10222	雪梨
1	鲜果	102	梨类	10223	冰糖梨
1	鲜果	102	梨类	10224	莱阳梨
1	鲜果	102	梨类	10225	水晶鸭梨
1	鲜果	102	梨类	10226	红巴梨
1	鲜果	102	梨类	10227	玉露甜梨
1	鲜果	102	梨类	10228	砀山梨
1	鲜果	102	梨类	10229	皇冠梨
1	鲜果	102	梨类	10230	黄花梨
1	鲜果	102	梨类	10231	南果梨
1	鲜果	102	梨类	10232	金秋梨
1	鲜果	102	梨类	10233	翠玉梨
1	鲜果	102	梨类	10234	爽不让香梨
1	鲜果	102	梨类	10235	进口水晶梨
1	鲜果	102	梨类	10236	新疆甜梨
1	鲜果	102	梨类	10237	早春新水梨
1	鲜果	102	梨类	10238	青金花梨
1	鲜果	102	梨类	10239	白金花梨
1	鲜果	102	梨类	10240	唐贵妃梨
1	鲜果	102	梨类	10241	老鸭梨
1	鲜果	102	梨类	10242	丑梨
1	鲜果	102	梨类	10243	进口红宝石梨
1	鲜果	102	梨类	10244	新星梨
1	鲜果	103	李类	10301	黑布朗
1	鲜果	103	李类	10302	红布朗
1	鲜果	103	李类	10303	红李
1	鲜果	103	李类	10307	芙蓉李
1	鲜果	103	李类	10308	桃布李
1	鲜果	103	李类	10310	青李
1	鲜果	103	李类	10311	南华李
1	鲜果	103	李类	10315	安哥诺布朗
1	鲜果	103	李类	10316	恐龙蛋李
1	鲜果	103	李类	10317	脱骨李
1	鲜果	103	李类	10319	金沙李
1	鲜果	103	李类	10320	畔江红脆李
1	鲜果	103	李类	10321	黄金奈李
1	鲜果	103	李类	10322	蜜思李
1	鲜果	103	李类	10324	总统李
1	鲜果	103	李类	10325	黄李
1	鲜果	103	李类	10329	黑宝石李
1	鲜果	103	李类	10332	贵妃李
1	鲜果	103	李类	10333	青奈李
1	鲜果	103	李类	10335	黑金刚李
1	鲜果	103	李类	10336	脆红李
1	鲜果	103	李类	10337	国产樱桃李
1	鲜果	103	李类	10338	桃花李
1	鲜果	103	李类	10339	黄金李
1	鲜果	103	李类	10340	桃形李
1	鲜果	103	李类	10341	红玫瑰李
1	鲜果	103	李类	10342	不失李
1	鲜果	103	李类	10343	新疆味厚李
1	鲜果	104	桃类	10401	油桃
1	鲜果	104	桃类	10402	北京水蜜桃
1	鲜果	104	桃类	10403	四川水蜜桃
1	鲜果	104	桃类	10404	玉龙雪桃
1	鲜果	104	桃类	10405	毛桃
1	鲜果	104	桃类	10406	黄金桃
1	鲜果	104	桃类	10407	水蜜桃
1	鲜果	104	桃类	10409	朝鲜义州香桃
1	鲜果	104	桃类	10410	红叶冬桃
1	鲜果	104	桃类	10411	中华寿桃
1	鲜果	104	桃类	10412	蟠桃
1	鲜果	104	桃类	10413	鹰嘴桃
1	鲜果	104	桃类	10414	脆蜜桃
1	鲜果	104	桃类	10415	黄金蜜桃
1	鲜果	104	桃类	10416	阳山水蜜桃
1	鲜果	104	桃类	10417	白金桃
1	鲜果	104	桃类	10418	燕红桃
1	鲜果	104	桃类	10419	富硒桃
1	鲜果	104	桃类	10420	丽江雪桃
1	鲜果	104	桃类	10421	水晶桃
1	鲜果	104	桃类	10422	红心桃
1	鲜果	104	桃类	10423	高山水蜜桃
1	鲜果	104	桃类	10424	奉化水蜜桃
1	鲜果	104	桃类	10425	陕西水蜜桃
1	鲜果	104	桃类	10427	黄金油桃
1	鲜果	104	桃类	10428	油蟠桃
1	鲜果	104	桃类	10429	红凤凰水蜜桃
1	鲜果	104	桃类	10430	黄蟠桃
1	鲜果	104	桃类	10431	奉贤黄桃
1	鲜果	104	桃类	10432	冬桃
1	鲜果	104	桃类	10434	春雪桃
1	鲜果	104	桃类	10435	黄肉油桃
1	鲜果	104	桃类	10436	胭脂脆桃
1	鲜果	104	桃类	10437	红玉脆桃
1	鲜果	104	桃类	10438	白凤桃
1	鲜果	104	桃类	10439	珍珠油桃
1	鲜果	104	桃类	10440	黄金蟠桃
1	鲜果	105	杏类	10501	法兰西西梅
1	鲜果	105	杏类	10503	黄金杏
1	鲜果	105	杏类	10504	新疆小红杏
1	鲜果	105	杏类	10505	西梅
1	鲜果	105	杏类	10506	杏梅
1	鲜果	105	杏类	10507	新疆小白杏
1	鲜果	105	杏类	10509	新疆吊干杏
1	鲜果	105	杏类	10510	新疆昆仑雪杏
1	鲜果	105	杏类	10511	火洲小白杏
1	鲜果	105	杏类	10512	新疆赛买提杏
1	鲜果	105	杏类	10513	新疆西梅
1	鲜果	106	橙类	10602	带叶赣南脐橙
1	鲜果	106	橙类	10603	纽荷尔脐橙
1	鲜果	106	橙类	10604	云冠橙
1	鲜果	106	橙类	10606	红江橙
1	鲜果	106	橙类	10608	阳光甜橙
1	鲜果	106	橙类	10610	湖南脐橙
1	鲜果	106	橙类	10611	阳光血橙
1	鲜果	106	橙类	10612	赣南脐橙
1	鲜果	106	橙类	10613	有机山地橙
1	鲜果	106	橙类	10614	卡拉红橙
1	鲜果	106	橙类	10616	琼中绿橙
1	鲜果	106	橙类	10617	冰糖橙
1	鲜果	106	橙类	10618	夏橙
1	鲜果	106	橙类	10623	海南福橙
1	鲜果	106	橙类	10624	四川脐橙
1	鲜果	106	橙类	10625	雷波脐橙
1	鲜果	106	橙类	10628	秭归脐橙
1	鲜果	106	橙类	10629	玫瑰香血橙
1	鲜果	106	橙类	10631	奉节脐橙
1	鲜果	106	橙类	10632	红肉脐橙
1	鲜果	106	橙类	10635	赣南鲜橙
1	鲜果	106	橙类	10636	一个好橙
1	鲜果	106	橙类	10637	“水晶”红橙
1	鲜果	106	橙类	10638	廉江红橙
1	鲜果	106	橙类	10639	伦晚脐橙
1	鲜果	106	橙类	10640	农夫山泉17.5°橙
1	鲜果	107	桔类	10701	不知火
1	鲜果	107	桔类	10703	青桔
1	鲜果	107	桔类	10704	澳洲柑
1	鲜果	107	桔类	10705	皇帝柑
1	鲜果	107	桔类	10706	蜜桔
1	鲜果	107	桔类	10707	青饯蜜柑
1	鲜果	107	桔类	10708	芦柑
1	鲜果	107	桔类	10709	蜜柑
1	鲜果	107	桔类	10710	南丰蜜桔
1	鲜果	107	桔类	10711	金桔
1	鲜果	107	桔类	10712	沙糖桔
1	鲜果	107	桔类	10713	发财柑
1	鲜果	107	桔类	10714	茂谷柑
1	鲜果	107	桔类	10715	马水桔
1	鲜果	107	桔类	10716	春甜桔
1	鲜果	107	桔类	10719	年桔
1	鲜果	107	桔类	10720	潮州柑
1	鲜果	107	桔类	10721	冰糖桔
1	鲜果	107	桔类	10722	湖南蜜桔
1	鲜果	107	桔类	10723	椪柑
1	鲜果	107	桔类	10724	佛手柑
1	鲜果	107	桔类	10725	丑柑
1	鲜果	107	桔类	10726	巴西柑
1	鲜果	107	桔类	10727	沃柑
1	鲜果	107	桔类	10728	春见蜜柑
1	鲜果	107	桔类	10729	东江蜜桔
1	鲜果	107	桔类	10730	爱媛蜜桔
1	鲜果	107	桔类	10731	涌泉蜜桔
1	鲜果	107	桔类	10732	红桔
1	鲜果	107	桔类	10735	脆甜金桔
1	鲜果	107	桔类	10736	天草蜜柑
1	鲜果	107	桔类	10739	丑桔
1	鲜果	107	桔类	10740	柳州蜜桔
1	鲜果	107	桔类	10741	象山红美人蜜柑
1	鲜果	107	桔类	10742	黄果柑
1	鲜果	107	桔类	10743	褚柑
1	鲜果	108	国产柚类	10801	蜜柚
1	鲜果	108	国产柚类	10803	西柚
1	鲜果	108	国产柚类	10804	沙田柚
1	鲜果	108	国产柚类	10805	柚子肉
1	鲜果	108	国产柚类	10806	红肉柚
1	鲜果	108	国产柚类	10807	南康金柚
1	鲜果	108	国产柚类	10809	桔柚
1	鲜果	108	国产柚类	10810	脆甜蜜柚
1	鲜果	108	国产柚类	10811	葡萄柚
1	鲜果	108	国产柚类	10812	黄金西柚
1	鲜果	108	国产柚类	10813	贵妃柚
1	鲜果	108	国产柚类	10814	文旦柚
1	鲜果	108	国产柚类	10815	黄肉蜜柚
1	鲜果	108	国产柚类	10816	三红蜜柚
1	鲜果	108	国产柚类	10822	西施蜜柚
1	鲜果	108	国产柚类	10823	青皮西柚
1	鲜果	108	国产柚类	10826	鸡尾葡萄柚
1	鲜果	108	国产柚类	10827	井冈蜜柚
1	鲜果	108	国产柚类	10828	马家柚
1	鲜果	109	荔枝类	10901	妃子笑荔枝
1	鲜果	109	荔枝类	10902	白糖婴荔枝
1	鲜果	109	荔枝类	10903	桂味荔枝
1	鲜果	109	荔枝类	10904	糯米滋荔枝
1	鲜果	109	荔枝类	10905	无核荔枝
1	鲜果	109	荔枝类	10906	丁香荔枝
1	鲜果	109	荔枝类	10907	荔枝王
1	鲜果	109	荔枝类	10908	其他荔枝类
1	鲜果	109	荔枝类	10909	泰国荔枝
1	鲜果	109	荔枝类	10910	兰竹荔枝
1	鲜果	109	荔枝类	10911	玉荷苞荔枝
1	鲜果	109	荔枝类	10912	越南陆岸荔枝
1	鲜果	109	荔枝类	10913	进口荔枝
1	鲜果	109	荔枝类	10914	桂花香荔枝
1	鲜果	110	进口龙眼类	11002	泰国龙眼
1	鲜果	110	进口龙眼类	11005	空运“鲜”龙眼
1	鲜果	111	葡萄类	11101	巨峰葡萄
1	鲜果	111	葡萄类	11102	黑藤巨峰
1	鲜果	111	葡萄类	11103	天山无核珍珠红
1	鲜果	111	葡萄类	11104	白马奶葡萄
1	鲜果	111	葡萄类	11105	阳光巨峰葡萄
1	鲜果	111	葡萄类	11106	无核夏黑葡萄
1	鲜果	111	葡萄类	11107	国产红提
1	鲜果	111	葡萄类	11108	新疆红提
1	鲜果	111	葡萄类	11110	国产无籽珍珠红
1	鲜果	111	葡萄类	11115	黑钻石无核黑提
1	鲜果	111	葡萄类	11118	青提
