big_type_code,big_type_name,middle_type_code,middle_type_name,small_type_code,small_item_name
1,鲜果类,106,荔果类,10602,三月红荔枝
1,鲜果类,103,李类,10331,非称重李类
1,鲜果类,102,梨类,10232,圆黄梨
1,鲜果类,112,杂果类,11232,榴莲肉
1,鲜果类,103,李类,10313,进口红布朗
1,鲜果类,112,杂果类,11229,猕猴桃
1,鲜果类,104,桃类,10414,鹰嘴桃
1,鲜果类,105,柑桔类,10507,冰糖橙
1,鲜果类,112,杂果类,11298,百香果
1,鲜果类,110,瓜类,11015,哈蜜瓜
1,鲜果类,103,李类,10323,红布朗
1,鲜果类,103,李类,10307,桂华李
1,鲜果类,106,荔果类,10627,鸡嘴荔枝
1,鲜果类,101,苹果类,10136,进口蜜脆苹果
1,鲜果类,112,杂果类,11219,杨梅
1,鲜果类,107,葡萄类,10701,进口红提
2,加工食品类,204,甜品类,20401,果冰类
1,鲜果类,108,芒果类,10801,鸡蛋芒
1,鲜果类,110,瓜类,11041,长寿蜜瓜
1,鲜果类,101,苹果类,10132,冰糖心富士
1,鲜果类,110,瓜类,11016,金蜜瓜
1,鲜果类,105,柑桔类,10569,文旦柚
1,鲜果类,104,桃类,10407,毛桃
1,鲜果类,107,葡萄类,10718,台湾巨峰
1,鲜果类,103,李类,10328,进口奈李
1,鲜果类,1,鲜果类,105,柑桔类
1,鲜果类,110,瓜类,11044,金皇后哈蜜瓜
1,鲜果类,103,李类,10327,玫瑰红李
1,鲜果类,108,芒果类,10805,进口澳芒
1,鲜果类,1,鲜果类,108,芒果类
1,鲜果类,104,桃类,10403,油桃
1,鲜果类,112,杂果类,11290,进口人心果
1,鲜果类,106,荔果类,10610,桂味荔枝
1,鲜果类,103,李类,10304,青李
1,鲜果类,105,柑桔类,10572,进口蜜柑
1,鲜果类,112,杂果类,11228,金火龙果
1,鲜果类,109,香蕉类,10904,皇帝蕉
1,鲜果类,105,柑桔类,10516,柠檬柑
1,鲜果类,103,李类,10318,进口青布朗
1,鲜果类,105,柑桔类,10541,田夫脐橙
1,鲜果类,112,杂果类,11280,无核黄皮
1,鲜果类,101,苹果类,10130,红将军苹果
1,鲜果类,112,杂果类,11218,黄金杏
1,鲜果类,112,杂果类,11901,树莓
1,鲜果类,112,杂果类,11283,油柑
1,鲜果类,105,柑桔类,10534,红桔
1,鲜果类,108,芒果类,10812,吕宋芒
1,鲜果类,102,梨类,10210,丰水梨
1,鲜果类,110,瓜类,11036,杏梅
1,鲜果类,101,苹果类,10128,水晶红星苹果
1,鲜果类,112,杂果类,11917,国产热情果
1,鲜果类,104,桃类,10412,中华寿桃
1,鲜果类,115,果切类,11501,单拼
1,鲜果类,110,瓜类,11065,甘霖西瓜
1,鲜果类,112,杂果类,11251,白皮甘蔗
1,鲜果类,107,葡萄类,10719,日本黑藤巨峰
1,鲜果类,105,柑桔类,10508,夏橙
1,鲜果类,110,瓜类,11006,山东无籽瓜
1,鲜果类,103,李类,10310,芙蓉李
1,鲜果类,108,芒果类,10830,新世纪芒果
1,鲜果类,106,荔果类,10626,桂花香荔枝
1,鲜果类,112,杂果类,11915,七彩香果
1,鲜果类,101,苹果类,10125,青苹果
1,鲜果类,104,桃类,10405,黄油桃
1,鲜果类,101,苹果类,10135,非称重苹果类
1,鲜果类,104,桃类,10404,蟠桃
1,鲜果类,108,芒果类,10832,印度芒果
1,鲜果类,112,杂果类,11903,富友柿
1,鲜果类,102,梨类,10208,蜜梨
1,鲜果类,108,芒果类,10808,大金黄芒
1,鲜果类,112,杂果类,11288,广奇冬枣
1,鲜果类,112,杂果类,11299,雪莲果
1,鲜果类,110,瓜类,11028,美仑达西瓜
1,鲜果类,102,梨类,10236,丑梨
1,鲜果类,105,柑桔类,10532,三百山脐橙
1,鲜果类,110,瓜类,11027,广西无籽瓜
1,鲜果类,101,苹果类,10138,水蜜桃苹果
1,鲜果类,110,瓜类,11037,丰田瓜
1,鲜果类,112,杂果类,11226,鸡心黄皮
1,鲜果类,107,葡萄类,10714,无籽红提
1,鲜果类,112,杂果类,11294,珍珠红圣女果
1,鲜果类,112,杂果类,11250,金铃子
1,鲜果类,110,瓜类,11045,花皮有籽瓜
1,鲜果类,105,柑桔类,10563,血橙
1,鲜果类,112,杂果类,11289,花竹
1,鲜果类,108,芒果类,10810,紫花芒
1,鲜果类,112,杂果类,11253,迁西板粟
1,鲜果类,101,苹果类,10114,乔纳金苹果
1,鲜果类,104,桃类,10401,北京水蜜桃
1,鲜果类,112,杂果类,11902,进口麒麟果
1,鲜果类,102,梨类,10228,紫霞梨
1,鲜果类,101,苹果类,10122,金苹果
1,鲜果类,105,柑桔类,10526,芦柑
1,鲜果类,112,杂果类,11268,青枣
1,鲜果类,104,桃类,10416,雪桃
1,鲜果类,112,杂果类,11275,羊奶果
2,加工食品类,203,果饮类,20303,鲜果咖啡类
1,鲜果类,105,柑桔类,10502,进口澳洲柑
1,鲜果类,110,瓜类,11012,早春红玉
1,鲜果类,108,芒果类,10807,大台农芒
1,鲜果类,108,芒果类,10803,澳芒
1,鲜果类,101,苹果类,10102,水晶富士
1,鲜果类,108,芒果类,10835,香蕉芒
1,鲜果类,107,葡萄类,10711,嘉宝果
1,鲜果类,109,香蕉类,10912,进口香蕉
1,鲜果类,103,李类,10311,青奈李
1,鲜果类,105,柑桔类,10506,脐橙
1,鲜果类,108,芒果类,10822,高乐蜜芒
1,鲜果类,112,杂果类,11227,佳沛奇异果
1,鲜果类,104,桃类,10415,久宝桃
1,鲜果类,112,杂果类,11215,香水菠萝
1,鲜果类,102,梨类,10203,库尔勒香梨
1,鲜果类,112,杂果类,11201,大樱桃
1,鲜果类,107,葡萄类,10715,黑提
1,鲜果类,102,梨类,10212,红巴梨
1,鲜果类,112,杂果类,11241,盆柿
1,鲜果类,105,柑桔类,10570,桔柚
1,鲜果类,108,芒果类,10823,红芒
1,鲜果类,105,柑桔类,10576,有机橙
1,鲜果类,105,柑桔类,10558,不知火
1,鲜果类,108,芒果类,10809,红金龙芒
1,鲜果类,112,杂果类,11262,甜蜜蜜枣
1,鲜果类,105,柑桔类,10501,进口甜橙
1,鲜果类,108,芒果类,10833,太阳芒
1,鲜果类,101,苹果类,10107,世界一苹果
1,鲜果类,105,柑桔类,10547,青皮西柚
1,鲜果类,105,柑桔类,10511,南非橙
1,鲜果类,112,杂果类,11208,椰青
1,鲜果类,113,其它类,11304,特价品
1,鲜果类,108,芒果类,10818,红香芒
1,鲜果类,110,瓜类,11002,特小凤
1,鲜果类,112,杂果类,11220,盒装杨梅
1,鲜果类,105,柑桔类,10549,进口皇帝柑
1,鲜果类,107,葡萄类,10727,台湾巨峰
1,鲜果类,105,柑桔类,10514,巴西柑
1,鲜果类,112,杂果类,11260,凤梨释迦
1,鲜果类,110,瓜类,11031,蜜瓜
1,鲜果类,103,李类,10324,红李
1,鲜果类,107,葡萄类,10717,美人指葡萄
1,鲜果类,108,芒果类,10815,贵妃芒
1,鲜果类,102,梨类,10234,非称重梨类
1,鲜果类,112,杂果类,11276,樱桃红番茄
1,鲜果类,102,梨类,10216,黄花梨
1,鲜果类,102,梨类,10211,翠玉梨
1,鲜果类,107,葡萄类,10730,醉金香葡萄
1,鲜果类,105,柑桔类,10564,台湾柳橙
1,鲜果类,113,其它类,11310,杂果类
1,鲜果类,110,瓜类,11018,黄香瓜
1,鲜果类,102,梨类,10226,绿宝石梨
1,鲜果类,101,苹果类,10124,工艺富士
1,鲜果类,106,荔果类,10605,黑叶荔枝
1,鲜果类,112,杂果类,11910,罗汉鲜果
1,鲜果类,110,瓜类,11054,帅童西瓜
1,鲜果类,105,柑桔类,10552,纽荷尔脐橙
1,鲜果类,106,荔果类,10616,民昌石硖龙眼
1,鲜果类,103,李类,10326,脱骨李
1,鲜果类,112,杂果类,11223,青橄榄
1,鲜果类,112,杂果类,11252,冬枣
1,鲜果类,101,苹果类,10139,金冠苹果
1,鲜果类,109,香蕉类,10901,大香蕉
1,鲜果类,110,瓜类,11046,金美人蜜瓜
1,鲜果类,109,香蕉类,10913,金手指香蕉
1,鲜果类,112,杂果类,11297,金丝枣(鲜果)
1,鲜果类,112,杂果类,11235,猫山王榴莲
1,鲜果类,113,其它类,11305,礼篮
1,鲜果类,110,瓜类,11013,脆肉西瓜
1,鲜果类,105,柑桔类,10561,天草蜜柑
1,鲜果类,112,杂果类,11277,进口龙宫果
1,鲜果类,106,荔果类,10611,何荔枝
1,鲜果类,103,李类,10308,黑布朗
1,鲜果类,106,荔果类,10609,糯米糍荔枝
1,鲜果类,112,杂果类,11224,枇杷果
1,鲜果类,102,梨类,10215,砀山梨
1,鲜果类,101,苹果类,10116,海棠果
1,鲜果类,104,桃类,10417,进口水蜜桃
1,鲜果类,106,荔果类,10621,荔枝王
2,加工食品类,205,水果茶类,20501,水果茶类
1,鲜果类,1,鲜果类,112,杂果类
1,鲜果类,105,柑桔类,10578,青饯蜜柑
1,鲜果类,110,瓜类,11033,红虎西瓜
1,鲜果类,112,杂果类,11269,野生仙人掌球
1,鲜果类,102,梨类,10223,南水梨
1,鲜果类,101,苹果类,10117,爱妃苹果
1,鲜果类,103,李类,10312,红奈李
1,鲜果类,101,苹果类,10112,红玫瑰苹果
1,鲜果类,112,杂果类,11907,野生贡枣
1,鲜果类,110,瓜类,11043,香瓜
1,鲜果类,106,荔果类,10612,兰竹荔枝
1,鲜果类,101,苹果类,10131,金星苹果
