big_type_code,big_type_name,middle_type_code,middle_type_name,small_type_code,small_item_name,item_code,item_name
1,鲜果类,101,苹果类,10101,红富士,100010,B级-红富士（大）
1,鲜果类,101,苹果类,10101,红富士,100011,B级-红富士（中）
1,鲜果类,101,苹果类,10101,红富士,100012,B级-红富士（小）
1,鲜果类,101,苹果类,10101,红富士,100013,红富士C
1,鲜果类,101,苹果类,10125,青苹果,100020,B级-青苹果（大）
1,鲜果类,101,苹果类,10125,青苹果,100021,B级-青苹果（中）
1,鲜果类,101,苹果类,10125,青苹果,100022,B级-青苹果（小）
1,鲜果类,101,苹果类,10125,青苹果,100023,青苹果C
1,鲜果类,101,苹果类,10123,国光苹果,100030,B级-国光苹果（大）
1,鲜果类,101,苹果类,10123,国光苹果,100031,B级-国光苹果（中）
1,鲜果类,101,苹果类,10126,脆甜苹果,100032,B级-国光苹果（小）
1,鲜果类,101,苹果类,10126,脆甜苹果,100033,国光苹果C
1,鲜果类,101,苹果类,10102,水晶富士,100041,招牌-东方红苹果（大）
1,鲜果类,101,苹果类,10102,水晶富士,100042,招牌-东方红苹果（中）
1,鲜果类,101,苹果类,10102,水晶富士,100043,招牌-东方红苹果（小）
1,鲜果类,101,苹果类,10135,非称重苹果类,100045,高抗氧化苹果
1,鲜果类,101,苹果类,10102,水晶富士,100046,大东方红苹果
1,鲜果类,101,苹果类,10102,水晶富士,100047,招牌-东方红苹果礼盒（12粒装）
1,鲜果类,101,苹果类,10130,红将军苹果,100051,B级-红将军苹果（大）
1,鲜果类,101,苹果类,10130,红将军苹果,100052,B级-红将军苹果（中）
1,鲜果类,101,苹果类,10130,红将军苹果,100053,B级-红将军苹果（小）
1,鲜果类,101,苹果类,10135,非称重苹果类,100055,盒装转形艺术苹果
1,鲜果类,101,苹果类,10102,水晶富士,100060,特级大水晶富士
1,鲜果类,101,苹果类,10102,水晶富士,100061,特级中水晶富士
1,鲜果类,101,苹果类,10102,水晶富士,100062,特级小水晶富士
1,鲜果类,101,苹果类,10102,水晶富士,100063,C级-水晶富士
1,鲜果类,101,苹果类,10102,水晶富士,100064,特价水晶富士
1,鲜果类,101,苹果类,10135,非称重苹果类,100065,精品水晶富士
1,鲜果类,101,苹果类,10135,非称重苹果类,100066,礼品水晶富士(桶装)
1,鲜果类,101,苹果类,10102,水晶富士,100067,盒装苹果
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100071,A级-红玫瑰苹果（大）
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100072,A级-红玫瑰苹果（中）
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100073,A级-红玫瑰苹果（小）
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100074,A级-乐淇苹果（3个装）
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100075,A级-乐淇苹果（4个装）
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100076,A级-乐淇苹果（5个装）
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100077,A级-樱桃小苹果（6个装）
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100078,A级-樱桃小苹果（2个装）
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100079,A级-乐淇苹果（试吃）
1,鲜果类,101,苹果类,10135,非称重苹果类,100081,A级-进口王林苹果（大）
1,鲜果类,101,苹果类,10135,非称重苹果类,100082,A级-进口王林苹果（中）
1,鲜果类,101,苹果类,10135,非称重苹果类,100083,A级-进口王林苹果（小）
1,鲜果类,101,苹果类,10135,非称重苹果类,100091,金星苹果A
1,鲜果类,101,苹果类,10135,非称重苹果类,100092,金星苹果B
1,鲜果类,101,苹果类,10135,非称重苹果类,100093,金星苹果C
1,鲜果类,101,苹果类,10128,水晶红星苹果,100100,B级-水晶红星苹果（大）
1,鲜果类,101,苹果类,10128,水晶红星苹果,100101,B级-水晶红星苹果（中）
1,鲜果类,101,苹果类,10128,水晶红星苹果,100102,B级-水晶红星苹果（小）
1,鲜果类,112,杂果类,11916,错误,1001093,C级_错误(测试)
1,鲜果类,101,苹果类,10115,红星苹果,100110,B级-红星苹果（大）
1,鲜果类,101,苹果类,10115,红星苹果,100111,B级-红星苹果（中）
1,鲜果类,101,苹果类,10115,红星苹果,100112,B级-红星苹果（小）
1,鲜果类,101,苹果类,10132,冰糖心富士,100121,B级-阿克苏苹果（大）
1,鲜果类,101,苹果类,10132,冰糖心富士,100122,B级-阿克苏苹果（中）
1,鲜果类,101,苹果类,10132,冰糖心富士,100123,B级-阿克苏苹果（小）
1,鲜果类,101,苹果类,10132,冰糖心富士,100126,B级-阿克苏苹果（礼盒）
1,鲜果类,101,苹果类,10132,冰糖心富士,100130,特级阿克苏蜜心富士
1,鲜果类,101,苹果类,10132,冰糖心富士,100131,A级-阿克苏蜜心富士（大）
1,鲜果类,101,苹果类,10132,冰糖心富士,100132,A级-阿克苏蜜心富士（中）
1,鲜果类,101,苹果类,10132,冰糖心富士,100133,A级-阿克苏蜜心富士（小）
1,鲜果类,101,苹果类,10135,非称重苹果类,100135,A级-礼品装阿克苏蜜心富士（大）
1,鲜果类,101,苹果类,10135,非称重苹果类,100136,A级-礼品装阿克苏蜜心富士（中）
1,鲜果类,101,苹果类,10135,非称重苹果类,100137,礼品装阿克苏蜜心富士(小)
1,鲜果类,101,苹果类,10132,冰糖心富士,100138,阿克苏蜜心富士
1,鲜果类,101,苹果类,10132,冰糖心富士,100139,A级-阿克苏蜜心富士（箱）
1,鲜果类,101,苹果类,10125,青苹果,100140,0
1,鲜果类,101,苹果类,10108,新西兰苹果,100141,A级-新西兰天后苹果（大）
1,鲜果类,101,苹果类,10108,新西兰苹果,100142,A级-新西兰天后苹果（中）
1,鲜果类,101,苹果类,10108,新西兰苹果,100143,A级-新西兰天后苹果（小）
1,鲜果类,101,苹果类,10108,新西兰苹果,100144,天后苹果（标准份）
1,鲜果类,101,苹果类,10108,新西兰苹果,100146,A级-新西兰天后苹果小（盒装）
1,鲜果类,101,苹果类,10102,水晶富士,100151,B级-红蜜水晶富士（大）
1,鲜果类,101,苹果类,10102,水晶富士,100152,B级-红蜜水晶富士（中）
1,鲜果类,101,苹果类,10102,水晶富士,100153,B级-红蜜水晶富士（小）
1,鲜果类,101,苹果类,10113,嘎啦苹果,100160,特级嘎啦苹果
1,鲜果类,101,苹果类,10113,嘎啦苹果,100161,B级-嘎啦苹果（大）
1,鲜果类,101,苹果类,10113,嘎啦苹果,100162,B级-嘎啦苹果（中）
1,鲜果类,101,苹果类,10113,嘎啦苹果,100163,B级-嘎啦苹果（小）
1,鲜果类,101,苹果类,10135,非称重苹果类,100171,陆奥苹果A
1,鲜果类,101,苹果类,10135,非称重苹果类,100172,陆奥苹果B
1,鲜果类,101,苹果类,10135,非称重苹果类,100173,陆奥苹果C
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100181,A级-铿锵红玫瑰苹果（大）
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100182,A级-铿锵红玫瑰苹果（中）
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100183,A级-铿锵红玫瑰苹果（小）
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100185,A级-铿锵红玫瑰苹果大（个）
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100186,A级-铿锵红玫瑰苹果中（个）
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100187,A级-铿锵红玫瑰苹果小（个）
1,鲜果类,101,苹果类,10135,非称重苹果类,100191,日本轻津苹果A
1,鲜果类,101,苹果类,10135,非称重苹果类,100192,日本轻津苹果B
1,鲜果类,101,苹果类,10135,非称重苹果类,100193,日本轻津苹果C
1,鲜果类,101,苹果类,10108,新西兰苹果,100201,A级-新西兰红富士（大）
1,鲜果类,101,苹果类,10108,新西兰苹果,100202,A级-新西兰红富士（中）
1,鲜果类,101,苹果类,10108,新西兰苹果,100203,A级-新西兰红富士（小）
1,鲜果类,101,苹果类,10108,新西兰苹果,100204,A级-新西兰红富士大（个）
1,鲜果类,101,苹果类,10108,新西兰苹果,100205,A级-新西兰红富士中（个）
1,鲜果类,101,苹果类,10108,新西兰苹果,100206,A级-新西兰红富士小（个）
1,鲜果类,101,苹果类,10103,进口加力果,100210,特级加力果
1,鲜果类,101,苹果类,10103,进口加力果,100211,A级-进口加力果（大）
1,鲜果类,101,苹果类,10103,进口加力果,100212,A级-进口加力果（中）
1,鲜果类,101,苹果类,10103,进口加力果,100213,A级-进口加力果（小）
1,鲜果类,102,梨类,10212,红巴梨,1002131,红巴梨A(错误)
1,鲜果类,101,苹果类,10103,进口加力果,100214,进口加力果D
1,鲜果类,101,苹果类,10103,进口加力果,100215,A级-进口加力果中（个）
1,鲜果类,101,苹果类,10103,进口加力果,100216,A级-进口加力果小（个）
1,鲜果类,101,苹果类,10132,冰糖心富士,100221,A级-“野”苹果（大）
1,鲜果类,101,苹果类,10132,冰糖心富士,100222,A级-“野”苹果（中）
1,鲜果类,101,苹果类,10132,冰糖心富士,100223,A级-“野”苹果（小）
1,鲜果类,101,苹果类,10101,红富士,100231,A级-进口红富士（大）
1,鲜果类,101,苹果类,10101,红富士,100232,A级-进口红富士（中）
1,鲜果类,101,苹果类,10101,红富士,100233,A级-进口红富士（小）
1,鲜果类,101,苹果类,10101,红富士,100234,A级-进口红富士大（个）
1,鲜果类,101,苹果类,10101,红富士,100235,A级-进口红富士中（个）
1,鲜果类,101,苹果类,10101,红富士,100236,A级-进口红富士小（个）
1,鲜果类,101,苹果类,10108,新西兰苹果,100241,A级-索尼娅苹果（大）
1,鲜果类,101,苹果类,10108,新西兰苹果,100242,A级-索尼娅苹果（中）
1,鲜果类,101,苹果类,10113,嘎啦苹果,100250,B级-国产加力果（大）
1,鲜果类,101,苹果类,10113,嘎啦苹果,100251,B级-国产加力果（中）
1,鲜果类,101,苹果类,10113,嘎啦苹果,100252,B级-国产加力果（小）
1,鲜果类,101,苹果类,10104,进口蛇果,100260,A级-进口蛇果（大）
1,鲜果类,101,苹果类,10104,进口蛇果,100261,A级-进口蛇果（中）
1,鲜果类,101,苹果类,10104,进口蛇果,100262,A级-进口蛇果（小）
1,鲜果类,101,苹果类,10104,进口蛇果,100263,进口蛇果C
1,鲜果类,101,苹果类,10104,进口蛇果,100265,A级-进口蛇果（个）
1,鲜果类,101,苹果类,10104,进口蛇果,100266,A级-进口蛇果大（个）
1,鲜果类,101,苹果类,10104,进口蛇果,100267,A级-进口蛇果中（个）
1,鲜果类,101,苹果类,10104,进口蛇果,100268,A级-进口蛇果小（个）
1,鲜果类,101,苹果类,10103,进口加力果,100270,B级-进口加力果（大）
1,鲜果类,101,苹果类,10103,进口加力果,100271,B级-进口加力果（中）
1,鲜果类,101,苹果类,10103,进口加力果,100272,B级-进口加力果（小）
1,鲜果类,101,苹果类,10120,蛇果,100273,蛇果C
1,鲜果类,101,苹果类,10103,进口加力果,100274,B级-进口加力果大（个）
1,鲜果类,101,苹果类,10103,进口加力果,100275,B级-进口加力果中（个）
1,鲜果类,101,苹果类,10103,进口加力果,100276,B级-进口加力果小（个）
1,鲜果类,101,苹果类,10108,新西兰苹果,100281,A级-进口爵士苹果（大）
1,鲜果类,101,苹果类,10108,新西兰苹果,100282,A级-进口爵士苹果（中）
1,鲜果类,101,苹果类,10108,新西兰苹果,100283,A级-进口爵士苹果（小）
1,鲜果类,101,苹果类,10132,冰糖心富士,100291,A级-大凉山冰糖心富士（大）
1,鲜果类,101,苹果类,10132,冰糖心富士,100292,A级-大凉山冰糖心富士（中）
1,鲜果类,101,苹果类,10132,冰糖心富士,100293,A级-大凉山冰糖心富士（小）
1,鲜果类,101,苹果类,10122,金苹果,100301,招牌-白金蜜富士（大）
1,鲜果类,101,苹果类,10122,金苹果,100302,招牌-白金蜜富士（中）
1,鲜果类,101,苹果类,10122,金苹果,100303,招牌-白金蜜富士（小）
1,鲜果类,101,苹果类,10111,金帅,100310,B级-金帅苹果（大）
1,鲜果类,101,苹果类,10111,金帅,100311,B级-金帅苹果（中）
1,鲜果类,101,苹果类,10111,金帅,100312,B级-金帅苹果（小）
1,鲜果类,101,苹果类,10111,金帅,100320,B级-水晶金帅苹果（大）
1,鲜果类,101,苹果类,10111,金帅,100321,B级-水晶金帅苹果（中）
1,鲜果类,101,苹果类,10111,金帅,100322,B级-水晶金帅苹果（小）
1,鲜果类,101,苹果类,10111,金帅,100323,水晶金帅苹果C
1,鲜果类,101,苹果类,10132,冰糖心富士,100331,B级-“野”苹果（大）
1,鲜果类,101,苹果类,10132,冰糖心富士,100332,B级-“野”苹果（中）
1,鲜果类,101,苹果类,10132,冰糖心富士,100333,B级-“野”苹果（小）
1,鲜果类,101,苹果类,10132,冰糖心富士,100335,B级-“野”苹果中（箱）
1,鲜果类,101,苹果类,10113,嘎啦苹果,100341,B级-皇家嘎啦苹果（大）
1,鲜果类,101,苹果类,10113,嘎啦苹果,100342,B级-皇家嘎啦苹果（中）
1,鲜果类,101,苹果类,10113,嘎啦苹果,100343,B级-皇家嘎啦苹果（小）
1,鲜果类,101,苹果类,10132,冰糖心富士,100351,A级-阿克苏苹果（大）
1,鲜果类,101,苹果类,10132,冰糖心富士,100352,A级-阿克苏苹果（中）
1,鲜果类,101,苹果类,10132,冰糖心富士,100353,A级-阿克苏苹果（小）
1,鲜果类,101,苹果类,10105,进口青苹果,100360,A级-进口青苹果（大）
1,鲜果类,101,苹果类,10105,进口青苹果,100361,A级-进口青苹果（中）
1,鲜果类,101,苹果类,10105,进口青苹果,100362,A级-进口青苹果（小）
1,鲜果类,101,苹果类,10105,进口青苹果,100363,进口青苹果C
1,鲜果类,104,桃类,10409,冬桃,1003631,陕西水蜜桃A(错误)
1,鲜果类,101,苹果类,10105,进口青苹果,100364,A级-进口青苹果大（个）
1,鲜果类,101,苹果类,10105,进口青苹果,100365,A级-进口青苹果中（个）
1,鲜果类,101,苹果类,10105,进口青苹果,100366,A级-进口青苹果小（个）
1,鲜果类,101,苹果类,10134,有机苹果,100372,A级-进口有机苹果（中）
1,鲜果类,101,苹果类,10134,有机苹果,100373,A级-进口有机苹果（小）
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100383,A级-红玫瑰苹果小（条）
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100386,A级-红玫瑰苹果小（盒装）
1,鲜果类,101,苹果类,10139,金冠苹果,100392,A级-金冠苹果（中）
1,鲜果类,101,苹果类,10140,米奇拉苹果,100401,A级-米奇拉苹果
1,鲜果类,101,苹果类,10116,海棠果,100411,B级-海棠果
1,鲜果类,101,苹果类,10113,嘎啦苹果,100421,A级-皇家嘎啦苹果（大）
1,鲜果类,101,苹果类,10113,嘎啦苹果,100422,A级-皇家嘎啦苹果（中）
1,鲜果类,101,苹果类,10113,嘎啦苹果,100423,A级-皇家嘎啦苹果（小）
1,鲜果类,101,苹果类,10113,嘎啦苹果,100427,A级-皇家嘎啦(试吃）
1,鲜果类,101,苹果类,10113,嘎啦苹果,100428,A级-盒装皇家嘎啦（4粒装）
1,鲜果类,101,苹果类,10113,嘎啦苹果,100429,A级-盒装皇家嘎啦（2粒装）
1,鲜果类,101,苹果类,10113,嘎啦苹果,100431,A级-艾芙苹果（大）
1,鲜果类,101,苹果类,10113,嘎啦苹果,100432,A级-艾芙苹果（中）
1,鲜果类,101,苹果类,10113,嘎啦苹果,100433,A级-艾芙苹果（小）
1,鲜果类,101,苹果类,10113,嘎啦苹果,100441,B级-艾芙苹果（大）
1,鲜果类,101,苹果类,10113,嘎啦苹果,100442,B级-艾芙苹果（中）
1,鲜果类,101,苹果类,10113,嘎啦苹果,100443,B级-艾芙苹果（小）
1,鲜果类,101,苹果类,10127,水晶秦冠苹果,100451,B级-水晶秦冠苹果（中）
1,鲜果类,101,苹果类,10127,水晶秦冠苹果,100452,B级-水晶秦冠苹果（小）
1,鲜果类,101,苹果类,10127,水晶秦冠苹果,100453,水晶秦冠苹果C
1,鲜果类,101,苹果类,10106,秦冠苹果,100461,B级-秦冠苹果（中）
1,鲜果类,101,苹果类,10132,冰糖心富士,100462,B级-秦冠苹果（小）
1,鲜果类,101,苹果类,10135,非称重苹果类,100471,A级-进口翠乔苹果（大）
1,鲜果类,101,苹果类,10135,非称重苹果类,100472,A级-进口翠乔苹果（中）
1,鲜果类,101,苹果类,10103,进口加力果,100481,A级-进口焦糖苹果（大）
1,鲜果类,101,苹果类,10103,进口加力果,100482,A级-进口焦糖苹果（中）
1,鲜果类,101,苹果类,10103,进口加力果,100483,A级-进口焦糖苹果（小）
1,鲜果类,101,苹果类,10103,进口加力果,100491,B级-进口焦糖苹果（大）
1,鲜果类,101,苹果类,10103,进口加力果,100492,B级-进口焦糖苹果（中）
1,鲜果类,101,苹果类,10103,进口加力果,100493,B级-进口焦糖苹果（小）
1,鲜果类,101,苹果类,10135,非称重苹果类,100501,A级-国产世界一苹果（大）
1,鲜果类,101,苹果类,10135,非称重苹果类,100502,A级-国产世界一苹果（中）
1,鲜果类,101,苹果类,10135,非称重苹果类,100503,A级-国产世界一苹果（小）
1,鲜果类,101,苹果类,10102,水晶富士,100510,A级-水晶富士（大）
1,鲜果类,101,苹果类,10102,水晶富士,100511,A级-水晶富士（中）
1,鲜果类,101,苹果类,10102,水晶富士,100512,A级-水晶富士（小）
1,鲜果类,101,苹果类,10102,水晶富士,100513,小水晶富士C
1,鲜果类,101,苹果类,10102,水晶富士,100514,小水晶富士D
1,鲜果类,101,苹果类,10135,非称重苹果类,100515,小水晶富士礼盒
1,鲜果类,101,苹果类,10135,非称重苹果类,100516,A级-水晶富士（礼品装）
1,鲜果类,101,苹果类,10102,水晶富士,100517,大件水晶富士礼盒
1,鲜果类,101,苹果类,10102,水晶富士,100518,B级-中件水晶富士礼盒
1,鲜果类,101,苹果类,10102,水晶富士,100519,小件水晶富士礼盒
1,鲜果类,101,苹果类,10102,水晶富士,100521,B级-水晶富士（大）
1,鲜果类,101,苹果类,10102,水晶富士,100522,B级-水晶富士（中）
1,鲜果类,101,苹果类,10102,水晶富士,100523,B级-水晶富士（小）
1,鲜果类,101,苹果类,10135,非称重苹果类,100525,B级-水晶富士（家庭装）
1,鲜果类,101,苹果类,10122,金苹果,100531,A级-白富士（大）
1,鲜果类,101,苹果类,10122,金苹果,100532,A级-白富士（中）
1,鲜果类,101,苹果类,10122,金苹果,100533,A级-白富士（小）
1,鲜果类,101,苹果类,10122,金苹果,100541,B级-白富士（大）
1,鲜果类,101,苹果类,10122,金苹果,100542,B级-白富士（中）
1,鲜果类,101,苹果类,10122,金苹果,100543,B级-白富士（小）
1,鲜果类,101,苹果类,10101,红富士,100551,A级-红富士（大）
1,鲜果类,101,苹果类,10101,红富士,100552,A级-红富士（中）
1,鲜果类,101,苹果类,10101,红富士,100553,A级-红富士（小）
1,鲜果类,101,苹果类,10124,工艺富士,100561,A级-工艺富士
1,鲜果类,101,苹果类,10124,工艺富士,100562,工艺富士B
1,鲜果类,101,苹果类,10124,工艺富士,100563,工艺富士C
1,鲜果类,101,苹果类,10103,进口加力果,100571,C级-进口焦糖苹果（大）
1,鲜果类,101,苹果类,10103,进口加力果,100572,C级-进口焦糖苹果（中）
1,鲜果类,101,苹果类,10103,进口加力果,100573,C级-进口焦糖苹果（小）
1,鲜果类,101,苹果类,10116,海棠果,100581,A级-塞外红小苹果（大）
1,鲜果类,101,苹果类,10116,海棠果,100582,A级-塞外红小苹果（中）
1,鲜果类,101,苹果类,10116,海棠果,100583,A级-塞外红小苹果（小）
1,鲜果类,101,苹果类,10122,金苹果,100591,金苹果A
1,鲜果类,101,苹果类,10122,金苹果,100592,金苹果B
1,鲜果类,101,苹果类,10122,金苹果,100593,金苹果C
1,鲜果类,101,苹果类,10135,非称重苹果类,100595,盒装金苹果
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100600,特级红玫瑰苹果
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100601,B级-红玫瑰苹果（大）
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100602,B级-红玫瑰苹果（中）
1,鲜果类,101,苹果类,10112,红玫瑰苹果,100603,B级-红玫瑰苹果（小）
