orgcode,orgdesc,storescode,storesname
szpszx,深圳区,0001,深圳宝安区圣淘沙店
szpszx,深圳区,0002,深圳罗湖区红宝路1店
szpszx,深圳区,0003,深圳福田区梅华路店
szpszx,深圳区,0004,深圳福田区景田店
szpszx,深圳区,0005,深圳宝安区富通苑店
szpszx,深圳区,0006,深圳罗湖区海富花园店
szpszx,深圳区,0007,深圳龙岗区四季花城店
szpszx,深圳区,0008,深圳南山区蔚蓝海岸店
szpszx,深圳区,0009,深圳福田区中康路店
szpszx,深圳区,0010,深圳罗湖区松泉山庄店
szpszx,深圳区,0011,深圳福田区沙嘴店
szpszx,深圳区,0012,深圳宝安区桃源居3店
szpszx,深圳区,0013,深圳南山区学府店
szpszx,深圳区,0014,深圳福田区车公庙店
szpszx,深圳区,0015,深圳福田区金地店
szpszx,深圳区,0016,深圳罗湖区龙园山庄店
szpszx,深圳区,0017,深圳福田区天然居店
szpszx,深圳区,0018,深圳宝安区三联路店
szpszx,深圳区,0019,深圳宝安区深业新岸线店
szpszx,深圳区,0020,深圳宝安区风和日丽店
szpszx,深圳区,0021,深圳龙岗区茂盛路店
szpszx,深圳区,0022,深圳南山区西海湾店
szpszx,深圳区,0023,深圳南山区招商海月店
szpszx,深圳区,0024,深圳罗湖区布心店
szpszx,深圳区,0025,深圳宝安区美丽365花园店
szpszx,深圳区,0026,深圳南山区阳光棕榈园店
szpszx,深圳区,0027,深圳宝安区天骄店
szpszx,深圳区,0028,深圳宝安区东源阁店
szpszx,深圳区,0029,深圳福田区中信广场店
szpszx,深圳区,0030,深圳福田区碧海云天店
szpszx,深圳区,0031,深圳宝安区建安新村店
szpszx,深圳区,0032,深圳福田区益田村店
szpszx,深圳区,0034,深圳南山区南山市场店
szpszx,深圳区,0036,深圳宝安区桃源居1店
szpszx,深圳区,0037,深圳福田区梅兴苑店
szpszx,深圳区,0038,深圳南山区缤纷店(停)
szpszx,深圳区,0039,深圳福田区莲花一村店
szpszx,深圳区,0040,深圳宝安区富通天骏店
szpszx,深圳区,0041,深圳罗湖区蔡屋围店
szpszx,深圳区,0042,深圳宝安区新境园店
szpszx,深圳区,0044,深圳福田区新洲一街店
szpszx,深圳区,0045,深圳宝安区缤纷世界店
szpszx,深圳区,0046,深圳龙岗区百合山庄店
szpszx,深圳区,0047,深圳宝安区景龙新村店
szpszx,深圳区,0048,深圳宝安区榕苑店
szpszx,深圳区,0049,深圳南山区明星店
szpszx,深圳区,0050,深圳福田区福源店
szpszx,深圳区,0051,深圳龙岗区长龙路店
szpszx,深圳区,0053,深圳福田区梅林一村店
szpszx,深圳区,0056,深圳福田区田面店
szpszx,深圳区,0057,深圳罗湖区松园店
szpszx,深圳区,0059,深圳宝安区水斗富豪店
szpszx,深圳区,0061,深圳南山区海滨店
szpszx,深圳区,0062,深圳宝安区西城上筑店
szpszx,深圳区,0063,深圳宝安区天悦龙庭店
szpszx,深圳区,0064,深圳龙岗区康桥花园店
szpszx,深圳区,0065,深圳福田区宝田苑店
szpszx,深圳区,0066,深圳龙岗区可园1店
szpszx,深圳区,0067,深圳罗湖区渔民村店
szpszx,深圳区,0068,深圳福田区紫竹四路店
szpszx,深圳区,0069,深圳宝安区民乐花园店
szpszx,深圳区,0070,深圳罗湖区松泉公寓店
szpszx,深圳区,0071,深圳罗湖区田心村店
szpszx,深圳区,0073,深圳龙岗区布吉莲花1店
szpszx,深圳区,0074,深圳南山区现代城店
szpszx,深圳区,0075,金色花园店
szpszx,深圳区,0076,深圳福田区翰岭苑店
szpszx,深圳区,0077,深圳福田区百花三路店
szpszx,深圳区,0079,深圳宝安区滢水山庄店
szpszx,深圳区,0080,深圳罗湖区莲塘国威店
szpszx,深圳区,0081,深圳罗湖区宝安南路店
szpszx,深圳区,0082,百乐汇店中店
szpszx,深圳区,0083,深圳龙岗区翠枫豪园店
szpszx,深圳区,0084,深圳宝安区富士康1店
szpszx,深圳区,0085,深圳福田区新洲二街店
szpszx,深圳区,0086,深圳宝安区锦绣江南店
szpszx,深圳区,0087,测试门店1
szpszx,深圳区,0088,深圳宝安区观澜格澜郡店
szpszx,深圳区,0089,深圳龙岗区东大街1店
szpszx,深圳区,0090,深圳福田区丽阳天下店
szpszx,深圳区,0091,深圳宝安区桃源居2店(停)
szpszx,深圳区,0092,深圳福田区沙嘴2店(停)
szpszx,深圳区,0093,深圳龙岗区丽湖花园店
szpszx,深圳区,0094,深圳宝安区龙泉花园店
szpszx,深圳区,0095,深圳罗湖区中兴路店
szpszx,深圳区,0096,深圳龙岗区东大街2店
szpszx,深圳区,0097,深圳罗湖区莲塘聚福路店
szpszx,深圳区,0098,深圳南山区东滨路店
szpszx,深圳区,0099,深圳福田区国都高尔夫花园店
szpszx,深圳区,0100,深圳罗湖区莲塘名骏店
szpszx,深圳区,0101,深圳福田区新洲北村店
szpszx,深圳区,0102,深圳宝安区民治塘水店
szpszx,深圳区,0103,深圳龙岗区万科城店
szpszx,深圳区,0104,深圳南山区缤纷年华店
szpszx,深圳区,0105,深圳福田区上沙店
szpszx,深圳区,0106,深圳福田区彩田村店(停)
szpszx,深圳区,0107,深圳龙岗区菁华园店
szpszx,深圳区,0108,深圳宝安区春华四季园店
szpszx,深圳区,0109,深圳福田区碧荔花园店
szpszx,深圳区,0110,深圳龙岗区坂田店
szpszx,深圳区,0111,深圳南山区港湾丽都店
szpszx,深圳区,0112,深圳罗湖区黄贝中村店(停)
szpszx,深圳区,0113,深圳罗湖区中兴路2店(停)
szpszx,深圳区,0114,深圳南山区龙城路店
szpszx,深圳区,0115,深圳龙岗区隆盛花园店
szpszx,深圳区,0116,深圳南山区学府中路店
szpszx,深圳区,0117,深圳南山区海韵嘉园店
szpszx,深圳区,0118,深圳南山区鸿瑞花园店
szpszx,深圳区,0119,深圳宝安区富士康2店
szpszx,深圳区,0120,深圳福田区福田保税区店
szpszx,深圳区,0121,深圳罗湖区水贝2路店
szpszx,深圳区,0122,深圳盐田区金融路店
szpszx,深圳区,0123,深圳宝安区兴业华庭店
szpszx,深圳区,0124,深圳龙岗区布吉慢城店
szpszx,深圳区,0125,深圳盐田区海山路店
szpszx,深圳区,0126,深圳福田区新闻路店
szpszx,深圳区,0127,深圳罗湖区景亿山庄店
szpszx,深圳区,0128,深圳盐田区恩上路店
szpszx,深圳区,0129,深圳福田区爱华市场店
szpszx,深圳区,0130,深圳南山区星海店
szpszx,深圳区,0131,深圳宝安区碧海富通店
szpszx,深圳区,0132,深圳福田区百花五路店
szpszx,深圳区,0133,深圳宝安区桃源居4店
szpszx,深圳区,0134,深圳南山区白石中路店
szpszx,深圳区,0135,深圳龙岗区万科城2店
szpszx,深圳区,0136,深圳宝安区世纪春城店
szpszx,深圳区,0137,深圳罗湖区罗湖边检店
szpszx,深圳区,0138,深圳福田区燕南路店
szpszx,深圳区,0139,深圳龙岗区中海康城店
szpszx,深圳区,0140,深圳南山区公园南路店
szpszx,深圳区,0141,深圳南山区白石中路2店
szpszx,深圳区,0142,深圳福田区莲花北店
szpszx,深圳区,0143,深圳南山区太子山庄店
szpszx,深圳区,0144,深圳罗湖区新港鸿花园店
szpszx,深圳区,0145,深圳宝安区梅陇镇店
szpszx,深圳区,0146,深圳龙岗区锦绣东方店
szpszx,深圳区,0147,深圳宝安区桃源居5店
szpszx,深圳区,0148,深圳福田区莲花北村2店
szpszx,深圳区,0149,深圳宝安区梅陇镇2店
szpszx,深圳区,0150,深圳宝安区凯旋城店
szpszx,深圳区,0151,深圳龙岗区万科红店
szpszx,深圳区,0152,深圳宝安区泰华豪园店
szpszx,深圳区,0153,深圳龙岗区龙城国际店
szpszx,深圳区,0154,深圳龙岗区英郡年华店
szpszx,深圳区,0155,深圳龙岗区康达尔花园店
szpszx,深圳区,0156,深圳龙岗区宏兴苑店
szpszx,深圳区,0157,深圳罗湖区春风路店
szpszx,深圳区,0158,深圳罗湖区田贝二路店
szpszx,深圳区,0159,深圳南山区工业八路店
szpszx,深圳区,0160,深圳南山区留仙居店
szpszx,深圳区,0161,深圳龙岗区满庭芳店
szpszx,深圳区,0162,深圳罗湖区笋岗店
szpszx,深圳区,0163,深圳宝安区花样年店
szpszx,深圳区,0164,深圳罗湖区华丽路店
szpszx,深圳区,0165,深圳龙岗区可园2店
szpszx,深圳区,0166,深圳盐田区鹏湾一村店
szpszx,深圳区,0167,深圳宝安区丽沙花都店
szpszx,深圳区,0168,深圳福田区海滨广场店
szpszx,深圳区,0169,深圳宝安区政丰南路店
szpszx,深圳区,0170,深圳南山区桃园村店
szpszx,深圳区,0171,深圳宝安区濠景城店
szpszx,深圳区,0172,深圳罗湖区罗芳店
szpszx,深圳区,0173,深圳福田区碧馨花园店
szpszx,深圳区,0174,深圳宝安区苹果园店
szpszx,深圳区,0175,深圳南山区鸿瑞花园2店
szpszx,深圳区,0176,深圳南山区南国丽城店
szpszx,深圳区,0177,深圳宝安区东华明珠店
szpszx,深圳区,0178,深圳宝安区鸿景园店
szpszx,深圳区,0179,深圳福田区福彩店
szpszx,深圳区,0180,深圳龙岗区碧湖花园店
szpszx,深圳区,0181,深圳宝安区居乐苑店
szpszx,深圳区,0182,深圳罗湖区黄贝岭店
szpszx,深圳区,0183,深圳宝安区天悦龙庭2店
szpszx,深圳区,0184,深圳罗湖区红桂路店
szpszx,深圳区,0185,深圳福田区景新花园店
szpszx,深圳区,0186,深圳福田区渔农村店
szpszx,深圳区,0187,深圳福田区赤尾村店
szpszx,深圳区,0188,深圳福田区水围村店
szpszx,深圳区,0189,深圳南山区育德佳园店
szpszx,深圳区,0190,深圳龙华新区潜龙花园店
szpszx,深圳区,0191,深圳福田区港中旅花园店
szpszx,深圳区,0192,深圳福田区福保花园店
szpszx,深圳区,0193,深圳福田区福华路店
szpszx,深圳区,0194,深圳南山区花园城店
szpszx,深圳区,0195,深圳罗湖区洪湖花园店
szpszx,深圳区,0196,深圳福田区新闻路2店
szpszx,深圳区,0197,深圳罗湖区向西村店
szpszx,深圳区,0198,深圳宝安区新安湖店
szpszx,深圳区,0199,深圳福田区新洲南村店
szpszx,深圳区,0200,深圳南山区南园村店
szpszx,深圳区,0201,深圳南山区花果山店
szpszx,深圳区,0202,深圳罗湖区太安路店
szpszx,深圳区,0203,深圳南山区南光路店
szpszx,深圳区,0204,深圳南山区珠光路店
szpszx,深圳区,0205,深圳南山区登良花园店
szpszx,深圳区,0206,深圳盐田区三家店
szpszx,深圳区,0207,深圳福田区城中雅苑店
szpszx,深圳区,0208,深圳龙岗区万科第五园店
szpszx,深圳区,0209,深圳罗湖区清平路店
szpszx,深圳区,0210,深圳南山区麒麟花园店
szpszx,深圳区,0211,深圳宝安区甲岸村店
szpszx,深圳区,0212,深圳南山区滨海之窗店
szpszx,深圳区,0213,深圳罗湖区聚宝路店
szpszx,深圳区,0214,深圳南山区金宝花园店
szpszx,深圳区,0215,深圳南山区蔚蓝海岸2店
szpszx,深圳区,0216,深圳南山区常丰花园店
szpszx,深圳区,0217,深圳龙岗区愉园新村店
szpszx,深圳区,0218,深圳南山区浪琴屿花园店
szpszx,深圳区,0219,深圳龙岗区罗马公园店
szpszx,深圳区,0220,深圳南山区留仙居2店
szpszx,深圳区,0221,深圳罗湖区莲塘路店
szpszx,深圳区,0222,深圳罗湖区新秀村店
szpszx,深圳区,0223,深圳福田区上沙2店
szpszx,深圳区,0224,深圳南山区南国丽城2店
szpszx,深圳区,0225,深圳南山区新德家园店
szpszx,深圳区,0226,深圳宝安区宝利豪庭店
szpszx,深圳区,0227,深圳宝安区西岸华府店
szpszx,深圳区,0228,深圳罗湖区红桂路2店
szpszx,深圳区,0229,深圳罗湖区太白居店
szpszx,深圳区,0230,深圳龙岗区德兴花园店
szpszx,深圳区,0231,深圳福田区金地花园2店
szpszx,深圳区,0232,深圳龙华新区青年城邦园店
szpszx,深圳区,0233,深圳罗湖区红宝路2店(停)
szpszx,深圳区,0234,深圳南山区学府中路2店
szpszx,深圳区,0235,深圳龙岗区南岭村店
szpszx,深圳区,0236,深圳龙华新区水榭春天店
szpszx,深圳区,0237,深圳南山区鼎太风华店
szpszx,深圳区,0238,深圳宝安区海湾明珠花园店
szpszx,深圳区,0239,深圳南山区天骄华庭店
szpszx,深圳区,0240,深圳罗湖区水库新村店
szpszx,深圳区,0241,深圳南山区学府品园店
szpszx,深圳区,0242,深圳龙岗区布吉街店
szpszx,深圳区,0243,深圳龙岗区中海康城2店
szpszx,深圳区,0244,深圳南山区米兰公寓店
szpszx,深圳区,0245,深圳宝安区文汇花园店
szpszx,深圳区,0246,深圳宝安区幸福海岸店
szpszx,深圳区,0247,深圳盐田区山海家园店
szpszx,深圳区,0248,深圳宝安区大益广场店
szpszx,深圳区,0249,深圳南山区南景苑店
szpszx,深圳区,0250,深圳龙岗区四季花城2店
szpszx,深圳区,0251,深圳福田区华强花园店
szpszx,深圳区,0252,深圳宝安区丽景城店
szpszx,深圳区,0253,深圳福田区梅林路店
szpszx,深圳区,0254,深圳福田区皇岗村店
szpszx,深圳区,0255,深圳福田区翡翠名园店
szpszx,深圳区,0256,深圳南山区留仙居3店
szpszx,深圳区,0257,深圳龙华新区优品建筑店
szpszx,深圳区,0258,深圳龙岗区阳光第五季店
szpszx,深圳区,0259,深圳平湖新区隔镇东路店
szpszx,深圳区,0260,深圳罗湖区洪湖二街店
szpszx,深圳区,0261,深圳龙岗区双拥街店
szpszx,深圳区,0262,深圳龙华新区金域华府店
szpszx,深圳区,0263,深圳南山区海景花园店
szpszx,深圳区,0264,深圳宝安区阳光海店
szpszx,深圳区,0265,深圳福田区田面2店
szpszx,深圳区,0266,深圳南山区世纪广场店
szpszx,深圳区,0267,深圳宝安区富源花园店
szpszx,深圳区,0268,深圳罗湖区洪湖一街店
szpszx,深圳区,0269,深圳南山区松坪花园店
szpszx,深圳区,0270,深圳龙华新区美丽家园店
szpszx,深圳区,0271,深圳宝安区沙井大街店
szpszx,深圳区,0272,深圳福田区东海花园店
szpszx,深圳区,0273,深圳福田区新新家园店
szpszx,深圳区,0274,深圳福田区梅村路店
szpszx,深圳区,0275,深圳龙岗区振业天峦店
szpszx,深圳区,0276,深圳福田区皇御苑店
szpszx,深圳区,0277,深圳龙岗区中海怡翠山庄店
szpszx,深圳区,0278,深圳宝安区香缤广场店
szpszx,深圳区,0279,深圳福田区皇城广场店
szpszx,深圳区,0280,深圳龙岗区新鸿花园店
szpszx,深圳区,0281,深圳盐田区瀚海东岸店
szpszx,深圳区,0282,深圳南山区兴工路店
szpszx,深圳区,0283,深圳南山区南山豪庭店
szpszx,深圳区,0284,深圳龙岗区雅豪祥苑店
szpszx,深圳区,0285,深圳宝安区前进一路店
szpszx,深圳区,0286,深圳龙华新区潜龙鑫茂店
szpszx,深圳区,0287,深圳宝安区宝安机场店
szpszx,深圳区,0288,深圳南山区现代城2店
szpszx,深圳区,0289,深圳龙华新区观澜格兰郡2店
szpszx,深圳区,0290,深圳龙华新区百佳华店
szpszx,深圳区,0291,深圳龙岗区德福花园店
szpszx,深圳区,0292,鲜果吧客深圳龙华新区百佳华店(停)
szpszx,深圳区,0293,深圳罗湖区罗湖村店
szpszx,深圳区,0294,深圳南山区城市山林店
szpszx,深圳区,0295,鲜果吧客深圳龙岗区东大街店
szpszx,深圳区,0296,深圳福田区福民路店
szpszx,深圳区,0297,深圳龙岗区东大街3店
szpszx,深圳区,0298,深圳龙岗区华浩源店
szpszx,深圳区,0299,深圳龙岗区黄金富苑店
szpszx,深圳区,0300,深圳南山区华侨城店
szpszx,深圳区,0301,深圳龙岗区世纪华夏店
szpszx,深圳区,0302,鲜果吧客深圳福田区曼哈店
szpszx,深圳区,0303,鲜果吧客深圳龙岗区万科店
szpszx,深圳区,0304,深圳福田区凤凰大厦店
szpszx,深圳区,0305,深圳福田区景田南路店
szpszx,深圳区,0306,鲜果吧客深圳龙岗区新鸿花园店
szpszx,深圳区,0307,鲜果吧客深圳福田区丰盛町店
szpszx,深圳区,0308,深圳坪山区金域缇香店
szpszx,深圳区,0309,鲜果吧客深圳宝安区桃源居店
szpszx,深圳区,0310,深圳罗湖区碧波花园店
szpszx,深圳区,0311,深圳龙岗区华为荔枝苑店
szpszx,深圳区,0312,深圳龙华新区水榭春天2店
szpszx,深圳区,0313,深圳龙华新区花半里店
szpszx,深圳区,0314,深圳龙华新区曼海宁花园店
